"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"2066e298-cf66-45c1-a817-c847070cdf56","682607","LightSensor 1","11/19/2022 8:04 AM","40.71","40.71 lux","100","40.71|True|0","0","964010","False","100","3.06"
"a0649a22-d4eb-4709-9a72-dc30d90c0edf","682607","LightSensor 1","11/19/2022 7:49 AM","28.09","28.09 lux","100","28.09|True|0","0","964010","False","100","3.06"
"71ce1e8e-b5b7-423f-bb73-d71c90c8a76a","682607","LightSensor 1","11/19/2022 7:34 AM","18.09","18.09 lux","100","18.09|True|0","0","964010","False","100","3.06"
"fb4f19af-2619-443a-9c72-c80c618f3d5a","682607","LightSensor 1","11/19/2022 7:19 AM","13.03","13.03 lux","100","13.03|True|0","0","964010","False","100","3.06"
"de0341d1-ef3a-4531-8fb4-1e55607f6379","682607","LightSensor 1","11/19/2022 7:04 AM","11.47","11.47 lux","100","11.47|True|0","0","964010","False","100","3.06"
"e670e46a-8af2-4865-ac11-464832b6a0be","682607","LightSensor 1","11/19/2022 6:49 AM","11.36","11.36 lux","100","11.36|True|0","0","964010","False","100","3.06"
"0999827c-21c0-492c-9ec5-b64e8d925413","682607","LightSensor 1","11/19/2022 6:34 AM","7.46","7.46 lux","100","7.46|True|0","0","964010","False","100","3.06"
"86ad6858-6489-4f4b-8f5d-bacd4b610fc3","682607","LightSensor 1","11/19/2022 6:19 AM","6.89","6.89 lux","100","6.89|True|0","0","964010","False","100","3.06"
"bde12a99-3581-4215-bcb3-10157503a5d9","682607","LightSensor 1","11/19/2022 6:04 AM","2.59","2.59 lux","100","2.59|True|0","0","964010","False","100","3.06"
"ea5926b5-eb19-43f1-be78-7d95be5c6973","682607","LightSensor 1","11/19/2022 5:49 AM","2.6","2.6 lux","100","2.6|True|0","0","964010","False","100","3.06"
"b2564f44-1743-4e81-9513-0dc3d5f42ca8","682607","LightSensor 1","11/19/2022 5:34 AM","1.82","1.82 lux","100","1.82|True|0","0","964010","False","100","3.06"
"b9dd2abb-8cab-4005-9a2e-5d3b87c8afed","682607","LightSensor 1","11/19/2022 5:19 AM","1.82","1.82 lux","100","1.82|True|0","0","964010","False","100","3.06"
"118250a4-239a-4e4d-abe6-d7b1d93976e7","682607","LightSensor 1","11/19/2022 5:04 AM","2.59","2.59 lux","100","2.59|True|0","0","964010","False","100","3.06"
"eaa5ddf3-72d3-4994-b1fc-3f68a5827155","682607","LightSensor 1","11/19/2022 4:49 AM","2.6","2.6 lux","100","2.6|True|0","0","964010","False","100","3.06"
"81e04b10-4d96-4721-a669-66da9d46b562","682607","LightSensor 1","11/19/2022 4:34 AM","1.81","1.81 lux","100","1.81|True|0","0","964010","False","100","3.06"
"a67baa4e-6f66-4c31-9ac8-08c07c652919","682607","LightSensor 1","11/19/2022 4:19 AM","1.81","1.81 lux","100","1.81|True|0","0","964010","False","100","3.06"
"ec25f08e-ee01-46bd-8bf4-53d537394d24","682607","LightSensor 1","11/19/2022 4:04 AM","2.59","2.59 lux","100","2.59|True|0","0","964010","False","100","3.06"
"74564c39-a3d5-4350-9e75-494b2af4bdab","682607","LightSensor 1","11/19/2022 3:49 AM","2.6","2.6 lux","100","2.6|True|0","0","964010","False","100","3.06"
"6b6dbb1a-fd11-4ab7-84d8-a633034bd873","682607","LightSensor 1","11/19/2022 3:49 AM","2.6","2.6 lux","100","2.6|True|0","0","964010","False","100","3.06"
"e1a7f23f-2f58-40be-8d58-98ff7ceea9b4","682607","LightSensor 1","11/19/2022 3:34 AM","1.81","1.81 lux","100","1.81|True|0","0","964010","False","100","3.06"
"36fcb4ca-7939-4d55-a3d7-21ac3eb78cda","682607","LightSensor 1","11/19/2022 3:34 AM","1.81","1.81 lux","100","1.81|True|0","0","964010","False","100","3.06"
"8416832c-d6a9-40d9-819a-14eb3ed67352","682607","LightSensor 1","11/19/2022 3:19 AM","12.71","12.71 lux","100","12.71|True|0","0","964010","False","100","3.06"
"04fcbf33-8334-4341-9bc8-f0fa8c19fe2b","682607","LightSensor 1","11/19/2022 3:19 AM","12.71","12.71 lux","100","12.71|True|0","0","964010","False","100","3.06"
"1a276e3c-cc0f-4329-9ae4-bc3f331672db","682607","LightSensor 1","11/19/2022 3:04 AM","12.82","12.82 lux","100","12.82|True|0","0","964010","False","100","3.06"
"105e5fe0-be9d-47d2-bd62-6d7bb72fe0c3","682607","LightSensor 1","11/19/2022 2:49 AM","6.77","6.77 lux","100","6.77|True|0","0","964010","False","100","3.06"
"78aae95b-0a27-4009-b84b-98abf0e63595","682607","LightSensor 1","11/19/2022 2:34 AM","0.08","0.08 lux","100","0.08|True|0","0","964010","False","100","3.06"
"d0025dbe-7811-4225-868e-c8bc3ca065e7","682607","LightSensor 1","11/19/2022 2:19 AM","0.09","0.09 lux","100","0.09|True|0","0","964010","False","100","3.06"
"193d1d86-c156-4437-bea2-fd0c51cf029f","682607","LightSensor 1","11/19/2022 2:04 AM","0.86","0.86 lux","100","0.86|True|0","0","964010","False","100","3.06"
"dc22df17-6e80-488c-a843-61bec2650256","682607","LightSensor 1","11/19/2022 1:49 AM","0.88","0.88 lux","100","0.88|True|0","0","964010","False","100","3.06"
"b0f0be0e-81cc-4659-a578-a8ef97b5a32d","682607","LightSensor 1","11/19/2022 1:34 AM","0.08","0.08 lux","100","0.08|True|0","0","964010","False","100","3.06"
"a332771b-f901-42a1-8abc-0e9370a8f3a9","682607","LightSensor 1","11/19/2022 1:19 AM","0.1","0.1 lux","100","0.1|True|0","0","964010","False","100","3.06"
